voc_id,voc_text,order_amount,create_time
N000,已经是第二次了，商品页面写的是顺丰实际发的是其他快递，有点影响心情,329,2026-04-07
N001,第一次遇到这种情况，同城配送为什么也要两天，谢谢,188,2026-04-26
N002,已经是第二次了，包装箱里少了配件螺丝都没给齐，希望能尽快处理,259,2026-04-04
N003,已经是第二次了，客服回复太慢了，等了好久才回我一句，下次不敢买了,68,2026-04-21
N004,收到的电子产品没有中文说明书，下次不敢买了,459,2026-04-28
N005,说实话，申请的换货迟迟没人处理，催了两次了，麻烦核实一下,129,2026-04-17
N006,我想问下，收到的商品和图片颜色不太一样，有点失望，希望能尽快处理,329,2026-04-25
N007,第一次遇到这种情况，收到的包装破了，不过东西没坏,129,2026-04-21
N008,商品描述说是纯棉的结果不是的，已经申请售后了,599,2026-04-25
N009,真的无语，客服回复太慢了，等了好久才回我一句，麻烦核实一下,399,2026-04-21
N010,拆开发现是临期商品保质期只剩半个月，请给个说法,68,2026-04-15
N011,衣服质量还行，就是码数偏小，下次不敢买了,259,2026-04-08
N012,麻烦了，衣服质量还行，就是码数偏小,599,2026-04-10
N013,真的无语，客服一直让我等系统处理但等了三天没动静，谢谢,329,2026-04-12
N014,我想问下，包装箱里少了配件螺丝都没给齐,188,2026-04-28
N015,客观说，下单时备注了不要折叠结果还是压坏了，已经申请售后了,39,2026-04-24
N016,客观说，优惠券用不了，显示不符合条件，谢谢,39,2026-04-25
N017,已经是第二次了，客服态度还行，帮我解决了问题，希望能尽快处理,39,2026-04-12
N018,说实话，拆开发现是临期商品保质期只剩半个月,188,2026-04-08
N019,客观说，商品有色差客服说显示器问题不给退，麻烦核实一下,459,2026-04-10
N020,能不能改收货地址，已经下单了,329,2026-04-08
N021,我想问下，买之前咨询客服态度很好售后就变了，希望能尽快处理,399,2026-04-23
N022,说实话，申请的换货迟迟没人处理，催了两次了,99,2026-04-22
N023,说实话，商品描述说是纯棉的结果不是的,188,2026-04-05
N024,第一次遇到这种情况，商品描述说是纯棉的结果不是的，已经申请售后了,599,2026-04-26
N025,说实话，为什么我的退款还没到账，已经五天了，麻烦核实一下,39,2026-04-10
N026,真的无语，保价的商品坏了理赔流程特别麻烦，有点影响心情,329,2026-04-20
N027,真的无语，客服帮我查了物流，态度挺好的，麻烦核实一下,99,2026-04-07
N028,赠品没有一起发货，问客服也没给说法，已经申请售后了,188,2026-04-22
N029,真的无语，赠品没有一起发货，问客服也没给说法，麻烦核实一下,459,2026-04-06
N030,活动价下单后又涨回去了感觉被套路，已经申请售后了,459,2026-04-07
N031,客观说，为什么我的退款还没到账，已经五天了，希望能尽快处理,329,2026-04-20
N032,客观说，客服态度还行，帮我解决了问题，有点影响心情,39,2026-04-06
N033,麻烦了，买之前咨询客服态度很好售后就变了，谢谢,459,2026-04-19
N034,第一次遇到这种情况，能不能改收货地址，已经下单了,99,2026-04-20
N035,买的家电没有保修卡也没有发票，谢谢,39,2026-04-17
N036,客服回复太慢了，等了好久才回我一句，下次不敢买了,329,2026-04-27
N037,保价的商品坏了理赔流程特别麻烦,99,2026-04-05
N038,我想问下，客服回复太慢了，等了好久才回我一句，下次不敢买了,329,2026-04-30
N039,已经是第二次了，鞋子穿着不太舒服想换一双,259,2026-04-04
N040,真的无语，怎么退货啊，找不到退货入口,259,2026-04-24
N041,鞋子穿着不太舒服想换一双，已经申请售后了,259,2026-04-22
N042,说实话，商品页面写的是顺丰实际发的是其他快递，请给个说法,129,2026-04-16
N043,说实话，下单时备注了不要折叠结果还是压坏了，希望能尽快处理,129,2026-04-19
N044,已经是第二次了，活动价下单后又涨回去了感觉被套路，麻烦核实一下,68,2026-04-07
N045,客观说，买的东西物流好慢啊，等了快一周了还没收到，已经申请售后了,68,2026-04-08
N046,说实话，想取消订单结果显示已发货取消不了，麻烦核实一下,599,2026-04-23
N047,客服回复太慢了，等了好久才回我一句，有点影响心情,188,2026-04-16
N048,客观说，收到的包装破了，不过东西没坏，希望能尽快处理,99,2026-04-27
N049,说实话，发货速度挺快的，第二天就到了，请给个说法,399,2026-04-16
N050,已经是第二次了，活动价下单后又涨回去了感觉被套路，请给个说法,39,2026-04-22
N051,麻烦了，预售商品一拖再拖发货时间改了三次，谢谢,129,2026-04-08
N052,客观说，拆开发现是临期商品保质期只剩半个月，希望能尽快处理,459,2026-04-30
N053,买的食品快过期了，不敢吃,259,2026-04-29
N054,客观说，发货速度挺快的，第二天就到了，请给个说法,39,2026-04-03
N055,我想问下，活动价下单后又涨回去了感觉被套路，请给个说法,399,2026-04-04
N056,说实话，优惠券用不了，显示不符合条件,39,2026-04-08
N057,说实话，能不能改收货地址，已经下单了，下次不敢买了,329,2026-04-16
N058,麻烦了，尺码表完全不准，按推荐买大了一码，下次不敢买了,99,2026-04-22
N059,客服态度还行，帮我解决了问题，有点影响心情,39,2026-04-22
N060,我想问下，活动价下单后又涨回去了感觉被套路，希望能尽快处理,129,2026-04-28
N061,我想问下，这个商品降价了能不能退差价，下次不敢买了,99,2026-04-03
N062,已经是第二次了，买的家电没有保修卡也没有发票,188,2026-04-28
N063,真的无语，活动价下单后又涨回去了感觉被套路，有点影响心情,329,2026-04-03
N064,收到的商品和图片颜色不太一样，有点失望，已经申请售后了,599,2026-04-01
N065,已经是第二次了，收到的商品和图片颜色不太一样，有点失望，谢谢,68,2026-04-22
N066,第一次遇到这种情况，包装太简陋了盒子都扁了,599,2026-04-15
N067,下单时备注了不要折叠结果还是压坏了，谢谢,39,2026-04-02
N068,第一次遇到这种情况，商品有色差客服说显示器问题不给退，希望能尽快处理,68,2026-04-09
N069,第一次遇到这种情况，买之前咨询客服态度很好售后就变了，已经申请售后了,129,2026-04-25
N070,发票怎么申请电子发票，谢谢,99,2026-04-13
N071,客服帮我查了物流，态度挺好的,329,2026-04-23
N072,麻烦了，收到的颜色和图片差太多了，下次不敢买了,39,2026-04-22
N073,麻烦了，物流显示签收了我没收到货，快递员电话打不通，有点影响心情,39,2026-04-20
N074,第一次遇到这种情况，怎么退货啊，找不到退货入口，请给个说法,259,2026-04-08
N075,真的无语，保价的商品坏了理赔流程特别麻烦，希望能尽快处理,329,2026-04-13
N076,发货速度挺快的，第二天就到了，希望能尽快处理,39,2026-04-08
N077,第一次遇到这种情况，同城配送为什么也要两天，有点影响心情,599,2026-04-24
N078,客观说，物流信息三天没更新了不知道货到哪了，有点影响心情,39,2026-04-21
N079,买的东西物流好慢啊，等了快一周了还没收到，下次不敢买了,459,2026-04-26
N080,第一次遇到这种情况，买的东西物流好慢啊，等了快一周了还没收到，有点影响心情,259,2026-04-08
N081,说实话，收到的商品和图片颜色不太一样，有点失望，有点影响心情,259,2026-04-29
N082,我想问下，商品页面写的是顺丰实际发的是其他快递,129,2026-04-25
N083,我想问下，能不能改收货地址，已经下单了，麻烦核实一下,129,2026-04-05
N084,我想问下，尺码表完全不准，按推荐买大了一码，麻烦核实一下,599,2026-04-01
N085,真的无语，怎么退货啊，找不到退货入口,129,2026-04-10
